Round Number,Date,Location,Home Team,Away Team,Result
7,28/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Vancouver Canucks,
7,28/02/2021 08:00,KeyBank Center,Buffalo Sabres,Philadelphia Flyers,
7,28/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Pittsburgh Penguins,
7,28/02/2021 08:00,Madison Square Garden,New York Rangers,Boston Bruins,
7,01/03/2021 07:00,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
7,01/03/2021 08:00,Prudential Center,New Jersey Devils,Washington Capitals,
7,01/03/2021 08:00,Amalie Arena,Tampa Bay Lightning,Dallas Stars,
7,01/03/2021 08:00,BB&T Center,Florida Panthers,Carolina Hurricanes,
7,01/03/2021 08:00,Canadian Tire Centre,Ottawa Senators,Calgary Flames,
7,01/03/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Minnesota Wild,
7,01/03/2021 08:00,Honda Center,Anaheim Ducks,St. Louis Blues,
7,01/03/2021 08:00,SAP Center at San Jose,San Jose Sharks,Colorado Avalanche,
7,02/03/2021 06:00,Bell MTS Place,Winnipeg Jets,Vancouver Canucks,
7,02/03/2021 08:00,Madison Square Garden,New York Rangers,Buffalo Sabres,
7,02/03/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Philadelphia Flyers,
7,02/03/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Detroit Red Wings,
7,02/03/2021 08:00,Centre Bell,Montréal Canadiens,Ottawa Senators,
8,03/03/2021 07:00,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
8,03/03/2021 08:00,TD Garden,Boston Bruins,Washington Capitals,
8,03/03/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Minnesota Wild,
8,03/03/2021 08:00,Honda Center,Anaheim Ducks,St. Louis Blues,
8,03/03/2021 08:00,SAP Center at San Jose,San Jose Sharks,Colorado Avalanche,
8,04/03/2021 06:00,United Center,Chicago Blackhawks,Tampa Bay Lightning,
8,04/03/2021 06:00,Bridgestone Arena,Nashville Predators,Florida Panthers,
8,04/03/2021 06:00,American Airlines Center,Dallas Stars,Columbus Blue Jackets,
8,04/03/2021 07:00,Scotiabank Saddledome,Calgary Flames,Ottawa Senators,
8,04/03/2021 08:00,Madison Square Garden,New York Rangers,New Jersey Devils,
8,04/03/2021 08:00,PNC Arena,Carolina Hurricanes,Detroit Red Wings,
8,04/03/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Philadelphia Flyers,
8,04/03/2021 08:00,Centre Bell,Montréal Canadiens,Winnipeg Jets,
8,04/03/2021 08:00,Rogers Arena,Vancouver Canucks,Toronto Maple Leafs,
8,05/03/2021 06:00,United Center,Chicago Blackhawks,Tampa Bay Lightning,
8,05/03/2021 07:00,Ball Arena,Colorado Avalanche,Anaheim Ducks,
8,05/03/2021 07:00,Gila River Arena,Arizona Coyotes,Minnesota Wild,
8,05/03/2021 08:00,TD Garden,Boston Bruins,Washington Capitals,
8,05/03/2021 08:00,Prudential Center,New Jersey Devils,New York Rangers,
8,05/03/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Buffalo Sabres,
8,05/03/2021 08:00,STAPLES Center,Los Angeles Kings,St. Louis Blues,
8,05/03/2021 08:00,SAP Center at San Jose,San Jose Sharks,Vegas Golden Knights,
8,06/03/2021 06:00,Bridgestone Arena,Nashville Predators,Florida Panthers,
8,06/03/2021 06:00,American Airlines Center,Dallas Stars,Columbus Blue Jackets,
8,06/03/2021 07:00,Rogers Place,Edmonton Oilers,Calgary Flames,
8,06/03/2021 07:00,Ball Arena,Colorado Avalanche,Anaheim Ducks,
8,06/03/2021 07:00,Gila River Arena,Arizona Coyotes,Minnesota Wild,
8,06/03/2021 08:00,Centre Bell,Montréal Canadiens,Winnipeg Jets,
8,06/03/2021 08:00,Rogers Arena,Vancouver Canucks,Toronto Maple Leafs,
8,06/03/2021 08:00,STAPLES Center,Los Angeles Kings,St. Louis Blues,
8,06/03/2021 08:00,SAP Center at San Jose,San Jose Sharks,Vegas Golden Knights,
8,07/03/2021 06:00,United Center,Chicago Blackhawks,Tampa Bay Lightning,
8,07/03/2021 07:00,Scotiabank Saddledome,Calgary Flames,Ottawa Senators,
8,07/03/2021 08:00,TD Garden,Boston Bruins,Philadelphia Flyers,
8,07/03/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Buffalo Sabres,
8,07/03/2021 08:00,Capital One Arena,Washington Capitals,New Jersey Devils,
8,07/03/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Rangers,
8,08/03/2021 06:00,Xcel Energy Center,Minnesota Wild,Vegas Golden Knights,
8,08/03/2021 07:00,Rogers Place,Edmonton Oilers,Ottawa Senators,
8,08/03/2021 07:00,Ball Arena,Colorado Avalanche,Arizona Coyotes,
8,08/03/2021 08:00,Rogers Arena,Vancouver Canucks,Montréal Canadiens,
8,08/03/2021 08:00,Honda Center,Anaheim Ducks,Los Angeles Kings,
8,09/03/2021 06:00,American Airlines Center,Dallas Stars,Chicago Blackhawks,
8,09/03/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Boston Bruins,
8,09/03/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Buffalo Sabres,
8,09/03/2021 08:00,Capital One Arena,Washington Capitals,New Jersey Devils,
8,09/03/2021 08:00,PNC Arena,Carolina Hurricanes,Nashville Predators,
8,09/03/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Rangers,
8,09/03/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Florida Panthers,
8,09/03/2021 08:00,Little Caesars Arena,Detroit Red Wings,Tampa Bay Lightning,
8,09/03/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
9,10/03/2021 06:00,Xcel Energy Center,Minnesota Wild,Vegas Golden Knights,
9,10/03/2021 07:00,Rogers Place,Edmonton Oilers,Ottawa Senators,
9,10/03/2021 07:00,Ball Arena,Colorado Avalanche,Arizona Coyotes,
9,10/03/2021 08:00,Rogers Arena,Vancouver Canucks,Montréal Canadiens,
9,10/03/2021 08:00,Honda Center,Anaheim Ducks,Los Angeles Kings,
9,11/03/2021 06:00,American Airlines Center,Dallas Stars,Chicago Blackhawks,
9,11/03/2021 07:00,Scotiabank Saddledome,Calgary Flames,Montréal Canadiens,
9,11/03/2021 08:00,TD Garden,Boston Bruins,New York Rangers,
9,11/03/2021 08:00,KeyBank Center,Buffalo Sabres,Pittsburgh Penguins,
9,11/03/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,New Jersey Devils,
9,11/03/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Washington Capitals,
9,11/03/2021 08:00,PNC Arena,Carolina Hurricanes,Nashville Predators,
9,11/03/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Florida Panthers,
9,11/03/2021 08:00,Little Caesars Arena,Detroit Red Wings,Tampa Bay Lightning,
9,11/03/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
9,12/03/2021 06:00,Enterprise Center,St. Louis Blues,Vegas Golden Knights,
9,12/03/2021 06:00,Xcel Energy Center,Minnesota Wild,Arizona Coyotes,
9,12/03/2021 07:00,Rogers Place,Edmonton Oilers,Ottawa Senators,
9,12/03/2021 07:00,Ball Arena,Colorado Avalanche,Los Angeles Kings,
9,12/03/2021 08:00,Honda Center,Anaheim Ducks,San Jose Sharks,
9,13/03/2021 06:00,Enterprise Center,St. Louis Blues,Vegas Golden Knights,
9,13/03/2021 07:00,Scotiabank Saddledome,Calgary Flames,Montréal Canadiens,
9,13/03/2021 08:00,TD Garden,Boston Bruins,New York Rangers,
9,13/03/2021 08:00,KeyBank Center,Buffalo Sabres,Pittsburgh Penguins,
9,13/03/2021 08:00,Prudential Center,New Jersey Devils,New York Islanders,
9,13/03/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Washington Capitals,
9,13/03/2021 08:00,Amalie Arena,Tampa Bay Lightning,Nashville Predators,
9,13/03/2021 08:00,BB&T Center,Florida Panthers,Chicago Blackhawks,
9,13/03/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Dallas Stars,
9,13/03/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
9,13/03/2021 08:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
9,13/03/2021 08:00,Honda Center,Anaheim Ducks,San Jose Sharks,
9,14/03/2021 06:00,Xcel Energy Center,Minnesota Wild,Arizona Coyotes,
9,14/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Carolina Hurricanes,
9,14/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
9,14/03/2021 07:00,Ball Arena,Colorado Avalanche,Los Angeles Kings,
9,15/03/2021 05:00,Bell MTS Place,Winnipeg Jets,Montréal Canadiens,
9,15/03/2021 06:00,Scotiabank Saddledome,Calgary Flames,Edmonton Oilers,
9,15/03/2021 07:00,Madison Square Garden,New York Rangers,Philadelphia Flyers,
9,15/03/2021 07:00,Capital One Arena,Washington Capitals,New York Islanders,
9,15/03/2021 07:00,Amalie Arena,Tampa Bay Lightning,Nashville Predators,
9,15/03/2021 07:00,BB&T Center,Florida Panthers,Chicago Blackhawks,
9,15/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Boston Bruins,
9,15/03/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Dallas Stars,
9,15/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Vancouver Canucks,
9,15/03/2021 07:00,T-Mobile Arena,Vegas Golden Knights,San Jose Sharks,
9,15/03/2021 07:00,STAPLES Center,Los Angeles Kings,St. Louis Blues,
9,16/03/2021 07:00,Prudential Center,New Jersey Devils,Buffalo Sabres,
9,16/03/2021 07:00,Capital One Arena,Washington Capitals,New York Islanders,
9,16/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Boston Bruins,
9,16/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Carolina Hurricanes,
9,16/03/2021 07:00,Honda Center,Anaheim Ducks,Arizona Coyotes,
10,17/03/2021 05:00,Bell MTS Place,Winnipeg Jets,Montréal Canadiens,
10,17/03/2021 06:00,Scotiabank Saddledome,Calgary Flames,Edmonton Oilers,
10,17/03/2021 07:00,Madison Square Garden,New York Rangers,Philadelphia Flyers,
10,17/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Vancouver Canucks,
10,17/03/2021 07:00,T-Mobile Arena,Vegas Golden Knights,San Jose Sharks,
10,17/03/2021 07:00,STAPLES Center,Los Angeles Kings,St. Louis Blues,
10,18/03/2021 06:00,Rogers Place,Edmonton Oilers,Winnipeg Jets,
10,18/03/2021 06:00,Ball Arena,Colorado Avalanche,Minnesota Wild,
10,18/03/2021 07:00,KeyBank Center,Buffalo Sabres,Boston Bruins,
10,18/03/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Philadelphia Flyers,
10,18/03/2021 07:00,PNC Arena,Carolina Hurricanes,Columbus Blue Jackets,
10,18/03/2021 07:00,Amalie Arena,Tampa Bay Lightning,Chicago Blackhawks,
10,18/03/2021 07:00,BB&T Center,Florida Panthers,Nashville Predators,
10,18/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Dallas Stars,
10,18/03/2021 07:00,Honda Center,Anaheim Ducks,Arizona Coyotes,
10,19/03/2021 07:00,Prudential Center,New Jersey Devils,Pittsburgh Penguins,
10,19/03/2021 07:00,Capital One Arena,Washington Capitals,New York Rangers,
10,19/03/2021 07:00,Centre Bell,Montréal Canadiens,Vancouver Canucks,
10,19/03/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
10,19/03/2021 07:00,STAPLES Center,Los Angeles Kings,Vegas Golden Knights,
10,19/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,St. Louis Blues,
10,20/03/2021 06:00,Rogers Place,Edmonton Oilers,Winnipeg Jets,
10,20/03/2021 06:00,Ball Arena,Colorado Avalanche,Minnesota Wild,
10,20/03/2021 07:00,KeyBank Center,Buffalo Sabres,Boston Bruins,
10,20/03/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Philadelphia Flyers,
10,20/03/2021 07:00,PNC Arena,Carolina Hurricanes,Columbus Blue Jackets,
10,20/03/2021 07:00,Amalie Arena,Tampa Bay Lightning,Chicago Blackhawks,
10,20/03/2021 07:00,BB&T Center,Florida Panthers,Nashville Predators,
10,20/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Dallas Stars,
10,20/03/2021 07:00,Centre Bell,Montréal Canadiens,Vancouver Canucks,
10,20/03/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
10,20/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,St. Louis Blues,
10,21/03/2021 07:00,Prudential Center,New Jersey Devils,Pittsburgh Penguins,
10,21/03/2021 07:00,STAPLES Center,Los Angeles Kings,Vegas Golden Knights,
10,22/03/2021 05:00,Xcel Energy Center,Minnesota Wild,Anaheim Ducks,
10,22/03/2021 07:00,Madison Square Garden,New York Rangers,Buffalo Sabres,
10,22/03/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Carolina Hurricanes,
10,22/03/2021 07:00,Centre Bell,Montréal Canadiens,Edmonton Oilers,
10,22/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Calgary Flames,
10,22/03/2021 07:00,Rogers Arena,Vancouver Canucks,Winnipeg Jets,
10,22/03/2021 07:00,Gila River Arena,Arizona Coyotes,Colorado Avalanche,
10,22/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,Los Angeles Kings,
10,23/03/2021 05:00,United Center,Chicago Blackhawks,Florida Panthers,
10,23/03/2021 05:00,Bridgestone Arena,Nashville Predators,Detroit Red Wings,
10,23/03/2021 05:00,American Airlines Center,Dallas Stars,Tampa Bay Lightning,
10,23/03/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New Jersey Devils,
10,23/03/2021 07:00,Gila River Arena,Arizona Coyotes,Colorado Avalanche,
11,24/03/2021 05:00,Xcel Energy Center,Minnesota Wild,Anaheim Ducks,
11,24/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Buffalo Sabres,
11,24/03/2021 07:00,Centre Bell,Montréal Canadiens,Edmonton Oilers,
11,24/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Calgary Flames,
11,24/03/2021 07:00,Rogers Arena,Vancouver Canucks,Winnipeg Jets,
11,24/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,Los Angeles Kings,
11,25/03/2021 05:00,United Center,Chicago Blackhawks,Florida Panthers,
11,25/03/2021 05:00,Bridgestone Arena,Nashville Predators,Detroit Red Wings,
11,25/03/2021 05:00,American Airlines Center,Dallas Stars,Tampa Bay Lightning,
11,25/03/2021 06:00,Ball Arena,Colorado Avalanche,Vegas Golden Knights,
11,25/03/2021 07:00,TD Garden,Boston Bruins,New York Islanders,
11,25/03/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New York Rangers,
11,25/03/2021 07:00,Capital One Arena,Washington Capitals,New Jersey Devils,
11,25/03/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Carolina Hurricanes,
11,25/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
11,26/03/2021 05:00,Enterprise Center,St. Louis Blues,Anaheim Ducks,
11,26/03/2021 06:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
11,26/03/2021 07:00,Capital One Arena,Washington Capitals,New Jersey Devils,
11,26/03/2021 07:00,Centre Bell,Montréal Canadiens,Edmonton Oilers,
11,26/03/2021 07:00,Gila River Arena,Arizona Coyotes,San Jose Sharks,
11,27/03/2021 05:00,United Center,Chicago Blackhawks,Nashville Predators,
11,27/03/2021 05:00,Enterprise Center,St. Louis Blues,Anaheim Ducks,
11,27/03/2021 05:00,American Airlines Center,Dallas Stars,Florida Panthers,
11,27/03/2021 06:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
11,27/03/2021 06:00,Ball Arena,Colorado Avalanche,Vegas Golden Knights,
11,27/03/2021 07:00,TD Garden,Boston Bruins,New York Islanders,
11,27/03/2021 07:00,Wells Fargo Center,Philadelphia Flyers,New York Rangers,
11,27/03/2021 07:00,PNC Arena,Carolina Hurricanes,Tampa Bay Lightning,
11,27/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Buffalo Sabres,
11,27/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Columbus Blue Jackets,
11,27/03/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Edmonton Oilers,
11,27/03/2021 07:00,Gila River Arena,Arizona Coyotes,San Jose Sharks,
11,28/03/2021 05:00,United Center,Chicago Blackhawks,Nashville Predators,
11,28/03/2021 05:00,American Airlines Center,Dallas Stars,Florida Panthers,
11,28/03/2021 07:00,TD Garden,Boston Bruins,New Jersey Devils,
11,28/03/2021 07:00,Capital One Arena,Washington Capitals,New York Rangers,
11,28/03/2021 07:00,PNC Arena,Carolina Hurricanes,Tampa Bay Lightning,
11,28/03/2021 07:00,Little Caesars Arena,Detroit Red Wings,Columbus Blue Jackets,
11,28/03/2021 07:00,Centre Bell,Montréal Canadiens,Ottawa Senators,
11,29/03/2021 05:00,Enterprise Center,St. Louis Blues,Arizona Coyotes,
11,29/03/2021 06:00,Scotiabank Saddledome,Calgary Flames,Winnipeg Jets,
11,29/03/2021 06:00,Ball Arena,Colorado Avalanche,Anaheim Ducks,
11,29/03/2021 07:00,KeyBank Center,Buffalo Sabres,Philadelphia Flyers,
11,29/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,New York Islanders,
11,29/03/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Edmonton Oilers,
11,29/03/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Los Angeles Kings,
11,29/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,Minnesota Wild,
11,30/03/2021 05:00,United Center,Chicago Blackhawks,Carolina Hurricanes,
11,30/03/2021 05:00,Bridgestone Arena,Nashville Predators,Dallas Stars,
11,30/03/2021 07:00,TD Garden,Boston Bruins,New Jersey Devils,
11,30/03/2021 07:00,KeyBank Center,Buffalo Sabres,Philadelphia Flyers,
11,30/03/2021 07:00,Madison Square Garden,New York Rangers,Washington Capitals,
11,30/03/2021 07:00,Amalie Arena,Tampa Bay Lightning,Columbus Blue Jackets,
11,30/03/2021 07:00,BB&T Center,Florida Panthers,Detroit Red Wings,
11,30/03/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,New York Islanders,
11,30/03/2021 07:00,Canadian Tire Centre,Ottawa Senators,Montréal Canadiens,
12,31/03/2021 05:00,Enterprise Center,St. Louis Blues,Arizona Coyotes,
12,31/03/2021 05:00,Bell MTS Place,Winnipeg Jets,Toronto Maple Leafs,
12,31/03/2021 06:00,Ball Arena,Colorado Avalanche,Anaheim Ducks,
12,31/03/2021 07:00,Rogers Arena,Vancouver Canucks,Calgary Flames,
12,31/03/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Los Angeles Kings,
12,31/03/2021 07:00,SAP Center at San Jose,San Jose Sharks,Minnesota Wild,
12,01/04/2021 05:00,United Center,Chicago Blackhawks,Carolina Hurricanes,
12,01/04/2021 05:00,Bridgestone Arena,Nashville Predators,Dallas Stars,
12,01/04/2021 07:00,TD Garden,Boston Bruins,Pittsburgh Penguins,
12,01/04/2021 07:00,KeyBank Center,Buffalo Sabres,New York Rangers,
12,01/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Washington Capitals,
12,01/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Columbus Blue Jackets,
12,01/04/2021 07:00,BB&T Center,Florida Panthers,Detroit Red Wings,
12,01/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Montréal Canadiens,
12,01/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Minnesota Wild,
12,02/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Toronto Maple Leafs,
12,02/04/2021 06:00,Rogers Place,Edmonton Oilers,Calgary Flames,
12,02/04/2021 07:00,Prudential Center,New Jersey Devils,Washington Capitals,
12,02/04/2021 07:00,Honda Center,Anaheim Ducks,Arizona Coyotes,
12,02/04/2021 07:00,STAPLES Center,Los Angeles Kings,San Jose Sharks,
12,03/04/2021 05:00,Bridgestone Arena,Nashville Predators,Chicago Blackhawks,
12,03/04/2021 06:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
12,03/04/2021 06:00,Ball Arena,Colorado Avalanche,St. Louis Blues,
12,03/04/2021 07:00,TD Garden,Boston Bruins,Pittsburgh Penguins,
12,03/04/2021 07:00,KeyBank Center,Buffalo Sabres,New York Rangers,
12,03/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Philadelphia Flyers,
12,03/04/2021 07:00,PNC Arena,Carolina Hurricanes,Dallas Stars,
12,03/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Detroit Red Wings,
12,03/04/2021 07:00,BB&T Center,Florida Panthers,Columbus Blue Jackets,
12,03/04/2021 07:00,Centre Bell,Montréal Canadiens,Ottawa Senators,
12,03/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Minnesota Wild,
12,03/04/2021 07:00,STAPLES Center,Los Angeles Kings,San Jose Sharks,
12,04/04/2021 05:00,Bridgestone Arena,Nashville Predators,Chicago Blackhawks,
12,04/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Vancouver Canucks,
12,04/04/2021 07:00,Prudential Center,New Jersey Devils,Washington Capitals,
12,04/04/2021 07:00,PNC Arena,Carolina Hurricanes,Dallas Stars,
12,04/04/2021 07:00,Amalie Arena,Tampa Bay Lightning,Detroit Red Wings,
12,04/04/2021 07:00,BB&T Center,Florida Panthers,Columbus Blue Jackets,
12,04/04/2021 07:00,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
12,04/04/2021 07:00,Honda Center,Anaheim Ducks,Arizona Coyotes,
12,05/04/2021 05:00,Enterprise Center,St. Louis Blues,Vegas Golden Knights,
12,05/04/2021 05:00,Xcel Energy Center,Minnesota Wild,Colorado Avalanche,
12,05/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
12,05/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Boston Bruins,
12,05/04/2021 07:00,Centre Bell,Montréal Canadiens,Edmonton Oilers,
12,05/04/2021 07:00,STAPLES Center,Los Angeles Kings,Arizona Coyotes,
12,06/04/2021 05:00,United Center,Chicago Blackhawks,Dallas Stars,
12,06/04/2021 05:00,Bell MTS Place,Winnipeg Jets,Vancouver Canucks,
12,06/04/2021 07:00,Prudential Center,New Jersey Devils,Buffalo Sabres,
12,06/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Washington Capitals,
12,06/04/2021 07:00,Madison Square Garden,New York Rangers,Pittsburgh Penguins,
12,06/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Boston Bruins,
12,06/04/2021 07:00,PNC Arena,Carolina Hurricanes,Florida Panthers,
12,06/04/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Tampa Bay Lightning,
12,06/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Nashville Predators,
13,07/04/2021 05:00,Enterprise Center,St. Louis Blues,Vegas Golden Knights,
13,07/04/2021 05:00,Xcel Energy Center,Minnesota Wild,Colorado Avalanche,
13,07/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Edmonton Oilers,
13,07/04/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
13,07/04/2021 07:00,STAPLES Center,Los Angeles Kings,Arizona Coyotes,
13,08/04/2021 05:00,United Center,Chicago Blackhawks,Dallas Stars,
13,08/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Vancouver Canucks,
13,08/04/2021 07:00,KeyBank Center,Buffalo Sabres,New Jersey Devils,
13,08/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,Philadelphia Flyers,
13,08/04/2021 07:00,Madison Square Garden,New York Rangers,Pittsburgh Penguins,
13,08/04/2021 07:00,Capital One Arena,Washington Capitals,Boston Bruins,
13,08/04/2021 07:00,PNC Arena,Carolina Hurricanes,Florida Panthers,
13,08/04/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Tampa Bay Lightning,
13,08/04/2021 07:00,Little Caesars Arena,Detroit Red Wings,Nashville Predators,
13,08/04/2021 07:00,Centre Bell,Montréal Canadiens,Winnipeg Jets,
13,09/04/2021 05:00,Enterprise Center,St. Louis Blues,Minnesota Wild,
13,09/04/2021 07:00,KeyBank Center,Buffalo Sabres,New Jersey Devils,
13,09/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New York Rangers,
13,09/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Edmonton Oilers,
13,09/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Arizona Coyotes,
13,09/04/2021 07:00,Honda Center,Anaheim Ducks,Colorado Avalanche,
13,09/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Los Angeles Kings,
13,10/04/2021 05:00,Bridgestone Arena,Nashville Predators,Tampa Bay Lightning,
13,10/04/2021 05:00,American Airlines Center,Dallas Stars,Florida Panthers,
13,10/04/2021 06:00,Scotiabank Saddledome,Calgary Flames,Vancouver Canucks,
13,10/04/2021 07:00,PNC Arena,Carolina Hurricanes,Detroit Red Wings,
13,10/04/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Chicago Blackhawks,
13,10/04/2021 07:00,Centre Bell,Montréal Canadiens,Winnipeg Jets,
13,10/04/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Ottawa Senators,
13,10/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Los Angeles Kings,
13,11/04/2021 05:00,Enterprise Center,St. Louis Blues,Minnesota Wild,
13,11/04/2021 07:00,Prudential Center,New Jersey Devils,Pittsburgh Penguins,
13,11/04/2021 07:00,NYCB Live/Nassau Coliseum,New York Islanders,New York Rangers,
13,11/04/2021 07:00,Wells Fargo Center,Philadelphia Flyers,Buffalo Sabres,
13,11/04/2021 07:00,Capital One Arena,Washington Capitals,Boston Bruins,
13,11/04/2021 07:00,T-Mobile Arena,Vegas Golden Knights,Arizona Coyotes,
13,11/04/2021 07:00,Honda Center,Anaheim Ducks,Colorado Avalanche,
13,12/04/2021 05:00,Bridgestone Arena,Nashville Predators,Tampa Bay Lightning,
13,12/04/2021 06:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
13,12/04/2021 07:00,PNC Arena,Carolina Hurricanes,Detroit Red Wings,
13,12/04/2021 07:00,Nationwide Arena,Columbus Blue Jackets,Chicago Blackhawks,
13,12/04/2021 07:00,Centre Bell,Montréal Canadiens,Toronto Maple Leafs,
13,12/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Winnipeg Jets,
13,12/04/2021 07:00,STAPLES Center,Los Angeles Kings,Vegas Golden Knights,
13,12/04/2021 07:00,SAP Center at San Jose,San Jose Sharks,Anaheim Ducks,
13,13/04/2021 05:00,American Airlines Center,Dallas Stars,Florida Panthers,
13,13/04/2021 07:00,TD Garden,Boston Bruins,New York Islanders,
13,13/04/2021 07:00,Prudential Center,New Jersey Devils,New York Rangers,
13,13/04/2021 07:00,Capital One Arena,Washington Capitals,Buffalo Sabres,
13,13/04/2021 07:00,PPG Paints Arena,Pittsburgh Penguins,Philadelphia Flyers,
13,13/04/2021 07:00,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
14,14/04/2021 06:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
14,14/04/2021 07:00,Centre Bell,Montréal Canadiens,Calgary Flames,
14,14/04/2021 07:00,Canadian Tire Centre,Ottawa Senators,Winnipeg Jets,
