Round Number,Date,Location,Home Team,Away Team,Result
3,01/02/2021 08:00,Capital One Arena,Washington Capitals,Boston Bruins,
3,01/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Nashville Predators,
3,01/02/2021 08:00,Centre Bell,Montréal Canadiens,Vancouver Canucks,
3,01/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,Vegas Golden Knights,
3,02/02/2021 06:00,United Center,Chicago Blackhawks,Carolina Hurricanes,
3,02/02/2021 06:00,Enterprise Center,St. Louis Blues,Arizona Coyotes,
3,02/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Calgary Flames,
3,02/02/2021 07:00,Rogers Place,Edmonton Oilers,Ottawa Senators,
3,02/02/2021 07:00,Ball Arena,Colorado Avalanche,Minnesota Wild,
3,02/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Buffalo Sabres,
3,02/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New Jersey Devils,
3,02/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Dallas Stars,
3,02/02/2021 08:00,Centre Bell,Montréal Canadiens,Vancouver Canucks,
4,03/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Boston Bruins,
4,03/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Detroit Red Wings,
4,03/02/2021 08:00,STAPLES Center,Los Angeles Kings,Anaheim Ducks,
4,03/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,Vegas Golden Knights,
4,04/02/2021 06:00,United Center,Chicago Blackhawks,Carolina Hurricanes,
4,04/02/2021 06:00,Enterprise Center,St. Louis Blues,Arizona Coyotes,
4,04/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Calgary Flames,
4,04/02/2021 07:00,Ball Arena,Colorado Avalanche,Minnesota Wild,
4,04/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Buffalo Sabres,
4,04/02/2021 08:00,Madison Square Garden,New York Rangers,Washington Capitals,
4,04/02/2021 08:00,BB&T Center,Florida Panthers,Nashville Predators,
4,04/02/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New Jersey Devils,
4,04/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Dallas Stars,
4,04/02/2021 08:00,Centre Bell,Montréal Canadiens,Ottawa Senators,
4,04/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Vancouver Canucks,
4,05/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Boston Bruins,
4,05/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Detroit Red Wings,
4,05/02/2021 08:00,BB&T Center,Florida Panthers,Nashville Predators,
4,05/02/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Los Angeles Kings,
4,05/02/2021 08:00,Honda Center,Anaheim Ducks,San Jose Sharks,
